slug,event_timestamp,event_datetime,date,hour,minute,day_of_week,winner,winner_binary,volume,last_trade_price,best_bid,best_ask,spread,closed,btc_open,btc_close,btc_high,btc_low,btc_return,btc_volatility,btc_range,n_trades,n_unique_traders,total_trade_size,avg_trade_price,up_buy_pct,implied_prob_5min,implied_prob_4min,implied_prob_3min,implied_prob_2min,implied_prob_1min
btc-updown-5m-1770856800,1770856800,2026-02-12 00:40:00 UTC,2026-02-12,0,40,Thursday,Up,1,7.0,0.99,0.01,0.99,0.98,True,67512.12,67584.0,67588.83,67512.12,0.0010647,5.087e-05,0.00113624,2,1,95.0,0.99,1.0,,,,,
btc-updown-5m-1770857100,1770857100,2026-02-12 00:45:00 UTC,2026-02-12,0,45,Thursday,Down,0,117.5,,,0.01,0.01,True,67584.0,67527.95,67680.0,67500.77,-0.00082934,7.53e-05,0.00265196,2,1,117.5,0.99,0.0,,,,,
btc-updown-5m-1770857400,1770857400,2026-02-12 00:50:00 UTC,2026-02-12,0,50,Thursday,Up,1,17.5,0.99,0.99,1,0.01,True,67527.95,67531.89,67552.01,67493.77,5.835e-05,7.124e-05,0.00086246,1,1,17.5,0.99,1.0,,,,,
btc-updown-5m-1770857700,1770857700,2026-02-12 00:55:00 UTC,2026-02-12,0,55,Thursday,Down,0,0.0,,0.01,0.99,0.98,True,67537.8,67460.75,67597.08,67460.74,-0.00114084,7.936e-05,0.00201872,1,1,17.5,0.99,0.0,,,,,
btc-updown-5m-1770858000,1770858000,2026-02-12 01:00:00 UTC,2026-02-12,1,0,Thursday,Up,1,47.429329,0.15,0.01,0.22,0.21,True,67465.48,67548.99,67607.44,67465.47,0.00123782,9.334e-05,0.00210434,5,4,163.3092,0.3198,0.6,0.48,0.48,0.48,0.48,0.48
btc-updown-5m-1770858300,1770858300,2026-02-12 01:05:00 UTC,2026-02-12,1,5,Thursday,Down,0,0.0,,0.02,0.99,0.97,True,67548.48,67531.14,67601.0,67465.13,-0.0002567,9.032e-05,0.00201144,1,1,22.5,0.9878,0.0,,,,,
btc-updown-5m-1770858600,1770858600,2026-02-12 01:10:00 UTC,2026-02-12,1,10,Thursday,Up,1,59.99111,0.99,0.1,0.99,0.89,True,67531.14,67699.99,67700.0,67520.68,0.00250033,5.099e-05,0.00265537,5,3,275.2489,0.5308,0.6,,,,,0.1
btc-updown-5m-1770858900,1770858900,2026-02-12 01:15:00 UTC,2026-02-12,1,15,Thursday,Down,0,298.866296,0.61,0.51,0.9,0.39,True,67689.0,67644.52,67762.74,67618.03,-0.00065712,0.00011409,0.00213787,20,13,1126.534,0.5148,0.45,0.51,0.5,0.5,0.1081,0.95
btc-updown-5m-1770859200,1770859200,2026-02-12 01:20:00 UTC,2026-02-12,1,20,Thursday,Down,0,12024.517498,0.1,0.01,0.1,0.09,True,67639.24,67623.92,67648.99,67564.53,-0.0002265,7.404e-05,0.00124868,43,29,12150.8138,0.9428,0.2791,0.51,0.5,0.4989,0.8179,0.7813
btc-updown-5m-1770859500,1770859500,2026-02-12 01:25:00 UTC,2026-02-12,1,25,Thursday,Up,1,2744.22879,0.99,0.99,1,0.01,True,67623.92,67809.42,67869.99,67623.91,0.00274311,9.484e-05,0.00363895,18,16,2877.6517,0.2387,0.4444,,,0.9,0.96,0.99
btc-updown-5m-1770859800,1770859800,2026-02-12 01:30:00 UTC,2026-02-12,1,30,Thursday,Down,0,739.589754,0.6,0.6,0.61,0.01,True,67809.41,67800.01,67869.04,67765.7,-0.00013862,7.03e-05,0.00152398,43,27,11298.6001,0.0814,0.3256,,0.8,0.5334,0.67,0.6
btc-updown-5m-1770860100,1770860100,2026-02-12 01:35:00 UTC,2026-02-12,1,35,Thursday,Up,1,8765.996511,0.999,0.999,1,0.001,True,67800.01,67909.99,68047.47,67763.51,0.00162212,0.00013402,0.0041882,44,31,8636.7725,0.186,0.5227,0.5,0.1019,0.85,0.8977,0.99
btc-updown-5m-1770860400,1770860400,2026-02-12 01:40:00 UTC,2026-02-12,1,40,Thursday,Down,0,5779.790078,0.01,,0.01,0.01,True,67910.0,67859.75,67972.91,67838.51,-0.00073995,6.597e-05,0.00197909,70,50,5677.6778,0.7434,0.3,0.5,0.8111,0.4981,0.9341,0.5095
btc-updown-5m-1770860700,1770860700,2026-02-12 01:45:00 UTC,2026-02-12,1,45,Thursday,Down,0,5949.121579,0.01,,0.01,0.01,True,67848.04,67680.01,67874.0,67672.15,-0.00247656,6.892e-05,0.00297503,74,53,5800.8404,0.7938,0.2027,0.51,0.51,0.5014,0.51,0.02
btc-updown-5m-1770861000,1770861000,2026-02-12 01:50:00 UTC,2026-02-12,1,50,Thursday,Down,0,2284.758905,0.24,0.24,0.49,0.25,True,67680.0,67637.74,67725.79,67609.6,-0.00062441,7.347e-05,0.00171676,83,59,8200.6571,0.5635,0.1928,0.5,0.53,0.4214,0.3493,0.3965
btc-updown-5m-1770861300,1770861300,2026-02-12 01:55:00 UTC,2026-02-12,1,55,Thursday,Up,1,2036.365083,0.8,0.68,0.79,0.11,True,67637.74,67699.01,67724.0,67622.0,0.00090586,6.175e-05,0.00150803,117,76,11089.9852,0.7409,0.4872,0.53,0.5,0.7,0.89,0.93
btc-updown-5m-1770861600,1770861600,2026-02-12 02:00:00 UTC,2026-02-12,2,0,Thursday,Down,0,7623.681529,0.04,,0.01,0.01,True,67694.62,67589.99,67698.18,67556.91,-0.00154562,7.347e-05,0.00208687,106,71,11194.4028,0.5292,0.2642,0.526,0.4,0.2857,0.21,0.011
btc-updown-5m-1770861900,1770861900,2026-02-12 02:05:00 UTC,2026-02-12,2,5,Thursday,Up,1,14386.410283,0.999,0.999,1,0.001,True,67589.99,67713.81,67799.99,67564.95,0.00183193,8.575e-05,0.00347744,164,101,19138.8852,0.281,0.3537,0.49,0.56,0.5452,0.96,0.99
btc-updown-5m-1770862200,1770862200,2026-02-12 02:10:00 UTC,2026-02-12,2,10,Thursday,Down,0,6831.914699,0.1,,0.01,0.01,True,67713.8,67498.17,67729.2,67493.5,-0.00318443,7.326e-05,0.00348083,121,82,9545.2019,0.5172,0.2727,0.49,0.4409,0.1089,0.1,0.01
btc-updown-5m-1770862500,1770862500,2026-02-12 02:15:00 UTC,2026-02-12,2,15,Thursday,Down,0,14900.084124,0.01,,0.01,0.01,True,67498.17,67476.0,67513.24,67418.01,-0.00032845,7.322e-05,0.00141085,178,113,27997.299,0.5453,0.4101,0.48,0.45,0.4625,0.4735,0.3979
btc-updown-5m-1770862800,1770862800,2026-02-12 02:20:00 UTC,2026-02-12,2,20,Thursday,Up,1,15861.931918,0.99,0.99,1,0.01,True,67462.53,67544.63,67578.0,67462.53,0.00121697,6.517e-05,0.00171162,119,86,16468.9693,0.861,0.563,0.49,0.7697,0.79,0.89,0.93
