slug,event_timestamp,event_datetime,date,hour,minute,day_of_week,winner,winner_binary,volume,last_trade_price,best_bid,best_ask,spread,closed,btc_open,btc_close,btc_high,btc_low,btc_return,btc_volatility,btc_range,n_trades,n_unique_traders,total_trade_size,avg_trade_price,up_buy_pct,implied_prob_5min,implied_prob_4min,implied_prob_3min,implied_prob_2min,implied_prob_1min
btc-updown-5m-1770863100,1770863100,2026-02-12 02:25:00 UTC,2026-02-12,2,25,Thursday,Down,0,4470.993789,0.15,0.14,0.15,0.01,True,67544.64,67532.4,67558.03,67428.01,-0.00018121,7.168e-05,0.00192495,150,99,11920.0864,0.6243,0.2467,0.5,0.21,0.21,0.07,0.01
btc-updown-5m-1770863400,1770863400,2026-02-12 02:30:00 UTC,2026-02-12,2,30,Thursday,Up,1,58562.27191,0.99,0.88,0.99,0.11,True,67511.28,67730.91,67736.01,67482.1,0.00325323,9.626e-05,0.003761,223,138,64559.1105,0.569,0.5919,0.51,0.31,0.51,0.6996,0.78
btc-updown-5m-1770863700,1770863700,2026-02-12 02:35:00 UTC,2026-02-12,2,35,Thursday,Down,0,6842.883497,0.01,,0.01,0.01,True,67745.49,67658.92,67754.26,67658.92,-0.00127787,6.984e-05,0.00140733,149,104,7427.9649,0.637,0.3356,0.47,0.3,0.33,0.4,0.16
btc-updown-5m-1770864000,1770864000,2026-02-12 02:40:00 UTC,2026-02-12,2,40,Thursday,Up,1,9937.365398,0.99,0.99,1,0.01,True,67666.01,67740.49,67756.81,67666.01,0.0011007,6.035e-05,0.00134188,171,105,9698.1916,0.6222,0.538,0.49,0.6999,0.7562,0.95,0.9041
btc-updown-5m-1770864300,1770864300,2026-02-12 02:45:00 UTC,2026-02-12,2,45,Thursday,Up,1,10407.226613,0.24,0.3,1,0.7,True,67740.49,67750.1,67750.1,67655.79,0.00014186,6.212e-05,0.00139222,202,128,12190.1195,0.4088,0.3564,0.476,0.3,0.39,0.2,0.07
btc-updown-5m-1770864600,1770864600,2026-02-12 02:50:00 UTC,2026-02-12,2,50,Thursday,Down,0,7617.417282,0.01,,0.01,0.01,True,67750.1,67591.53,67753.79,67552.26,-0.00234051,8.246e-05,0.00297461,150,84,7977.4204,0.5443,0.3133,0.51,0.41,0.35,0.1081,0.01
btc-updown-5m-1770864900,1770864900,2026-02-12 02:55:00 UTC,2026-02-12,2,55,Thursday,Down,0,12322.868499,0.001,,0.001,0.001,True,67591.53,67439.14,67591.53,67420.73,-0.00225457,6.114e-05,0.00252694,163,93,11800.623,0.4594,0.2086,0.5028,0.4491,0.24,0.03,0.01
btc-updown-5m-1770865200,1770865200,2026-02-12 03:00:00 UTC,2026-02-12,3,0,Thursday,Up,1,13910.721295,0.99,0.99,1,0.01,True,67439.15,67529.64,67542.3,67359.85,0.0013418,7.411e-05,0.0027054,217,129,13997.5058,0.5562,0.3825,0.52,0.4262,0.45,0.46,0.894
btc-updown-5m-1770865500,1770865500,2026-02-12 03:05:00 UTC,2026-02-12,3,5,Thursday,Down,0,7130.657993,0.01,,0.01,0.01,True,67529.63,67491.78,67547.81,67458.51,-0.00056049,6.104e-05,0.00132238,164,104,9590.9873,0.6212,0.2683,0.5,0.42,0.3903,0.2027,0.06
btc-updown-5m-1770865800,1770865800,2026-02-12 03:10:00 UTC,2026-02-12,3,10,Thursday,Down,0,12821.071633,0.01,0.01,0.1,0.09,True,67491.77,67491.57,67559.81,67464.01,-2.96e-06,6.314e-05,0.00141943,195,99,12929.4957,0.5339,0.359,0.51,0.5203,0.8,0.6429,0.31
btc-updown-5m-1770866100,1770866100,2026-02-12 03:15:00 UTC,2026-02-12,3,15,Thursday,Down,0,5049.280847,0.4,0.1,0.28,0.18,True,67494.35,67390.92,67524.59,67386.0,-0.00153242,5.337e-05,0.00205336,148,85,11600.932,0.6231,0.3514,0.5,0.6,0.6,0.49,0.2
btc-updown-5m-1770866400,1770866400,2026-02-12 03:20:00 UTC,2026-02-12,3,20,Thursday,Down,0,12627.010019,0.39,0.52,0.66,0.14,True,67390.93,67386.01,67442.99,67338.55,-7.301e-05,6.901e-05,0.00154976,287,133,42566.3251,0.3061,0.3693,0.5,0.65,0.66,0.65,0.3981
btc-updown-5m-1770866700,1770866700,2026-02-12 03:25:00 UTC,2026-02-12,3,25,Thursday,Down,0,11532.171095,0.01,,0.01,0.01,True,67386.02,67382.85,67386.02,67322.01,-4.704e-05,5.667e-05,0.0009499,145,73,22126.8022,0.396,0.3172,0.52,0.3485,0.31,0.45,0.3
btc-updown-5m-1770867000,1770867000,2026-02-12 03:30:00 UTC,2026-02-12,3,30,Thursday,Up,1,19175.840219,0.99,0.99,1,0.01,True,67390.5,67450.59,67472.54,67332.05,0.00089167,7.075e-05,0.00208472,220,121,18559.6921,0.5953,0.4,0.52,0.5,0.5094,0.35,0.65
btc-updown-5m-1770867300,1770867300,2026-02-12 03:35:00 UTC,2026-02-12,3,35,Thursday,Up,1,7112.03076,0.46,0.31,0.32,0.01,True,67461.85,67481.5,67481.5,67393.88,0.00029128,5.034e-05,0.00129881,265,120,16288.7214,0.6393,0.4604,0.51,0.35,0.421,0.31,0.11
btc-updown-5m-1770867600,1770867600,2026-02-12 03:40:00 UTC,2026-02-12,3,40,Thursday,Up,1,8505.37546,0.89,0.77,0.87,0.1,True,67493.59,67496.49,67539.28,67450.94,4.297e-05,5.216e-05,0.00130887,248,107,31641.3594,0.2578,0.3992,0.5,0.48,0.5,0.54,0.8066
btc-updown-5m-1770867900,1770867900,2026-02-12 03:45:00 UTC,2026-02-12,3,45,Thursday,Up,1,9154.823921,0.99,0.99,1,0.01,True,67503.99,67495.17,67554.67,67459.56,-0.00013066,5.358e-05,0.00140895,214,92,14349.6087,0.5522,0.4112,0.5,0.4506,0.6,0.74,0.7915
btc-updown-5m-1770868200,1770868200,2026-02-12 03:50:00 UTC,2026-02-12,3,50,Thursday,Up,1,7763.957176,0.82,0.68,0.84,0.16,True,67470.05,67520.98,67534.16,67442.28,0.00075485,4.903e-05,0.00136179,209,94,12475.3517,0.654,0.4354,0.49,0.48,0.4338,0.6052,0.65
btc-updown-5m-1770868500,1770868500,2026-02-12 03:55:00 UTC,2026-02-12,3,55,Thursday,Up,1,6969.134012,0.79,0.79,0.88,0.09,True,67527.64,67580.99,67596.0,67496.34,0.00079005,4.875e-05,0.00147584,203,111,14340.8839,0.6116,0.5074,0.4864,0.5,0.67,0.7364,0.856
btc-updown-5m-1770868800,1770868800,2026-02-12 04:00:00 UTC,2026-02-12,4,0,Thursday,Down,0,7999.655789,0.78,0.57,0.79,0.22,True,67577.22,67536.01,67624.0,67491.28,-0.00060982,6.058e-05,0.00196398,214,115,12250.3053,0.5746,0.3084,0.52,0.3872,0.35,0.3288,0.65
btc-updown-5m-1770869100,1770869100,2026-02-12 04:05:00 UTC,2026-02-12,4,5,Thursday,Up,1,11471.1835,0.99,0.99,1,0.01,True,67507.98,67590.99,67607.23,67500.2,0.00122963,5.048e-05,0.00158544,262,114,16462.5632,0.566,0.4962,0.486,0.45,0.45,0.5598,0.65
btc-updown-5m-1770869400,1770869400,2026-02-12 04:10:00 UTC,2026-02-12,4,10,Thursday,Down,0,13687.02174,0.01,,0.01,0.01,True,67590.98,67577.41,67682.69,67568.92,-0.00020077,8.931e-05,0.00168321,273,111,13324.1554,0.6344,0.4396,0.51,0.55,0.64,0.7,0.5906
btc-updown-5m-1770869700,1770869700,2026-02-12 04:15:00 UTC,2026-02-12,4,15,Thursday,Down,0,15412.703279,0.09,0.02,0.05,0.03,True,67577.41,67379.99,67591.69,67296.91,-0.00292139,0.00010225,0.00436211,235,109,33732.9438,0.3663,0.3787,0.51,0.46,0.4148,0.08,0.01
btc-updown-5m-1770870000,1770870000,2026-02-12 04:20:00 UTC,2026-02-12,4,20,Thursday,Down,0,15481.829889,0.01,,0.01,0.01,True,67391.99,67298.6,67426.76,67270.6,-0.00138577,8.231e-05,0.00231719,299,120,23820.9248,0.6467,0.388,0.53,0.4804,0.64,0.31,0.0878
btc-updown-5m-1770870300,1770870300,2026-02-12 04:25:00 UTC,2026-02-12,4,25,Thursday,Down,0,19990.779929,0.01,,0.01,0.01,True,67298.61,67212.01,67318.7,67200.01,-0.0012868,6.562e-05,0.00176363,313,133,25180.6543,0.6812,0.3195,0.49,0.419,0.48,0.47,0.133
btc-updown-5m-1770870600,1770870600,2026-02-12 04:30:00 UTC,2026-02-12,4,30,Thursday,Down,0,20715.621825,0.67,0.35,0.39,0.04,True,67210.22,67190.01,67239.06,67062.01,-0.0003007,9.43e-05,0.00263427,319,118,28917.9464,0.611,0.4013,0.51,0.4789,0.62,0.17,0.03
btc-updown-5m-1770870900,1770870900,2026-02-12 04:35:00 UTC,2026-02-12,4,35,Thursday,Up,1,25536.686945,0.99,0.99,1,0.01,True,67193.54,67275.05,67294.8,67180.21,0.00121306,6.505e-05,0.00170537,252,127,27223.9257,0.4125,0.4802,0.52,0.57,0.59,0.9,0.94
btc-updown-5m-1770871200,1770871200,2026-02-12 04:40:00 UTC,2026-02-12,4,40,Thursday,Down,0,13091.235009,0.07,0.03,0.05,0.02,True,67275.05,67235.48,67284.6,67192.71,-0.00058818,7.339e-05,0.00136589,285,112,16301.8134,0.6565,0.3544,0.52,0.495,0.5267,0.3179,0.1851
btc-updown-5m-1770871500,1770871500,2026-02-12 04:45:00 UTC,2026-02-12,4,45,Thursday,Down,0,18357.39032,0.01,,0.01,0.01,True,67215.42,67207.92,67280.29,67181.27,-0.00011158,5.589e-05,0.00147317,282,110,20772.4752,0.563,0.4184,0.4743,0.4844,0.5076,0.61,0.7837
btc-updown-5m-1770871800,1770871800,2026-02-12 04:50:00 UTC,2026-02-12,4,50,Thursday,Down,0,17558.247073,0.01,,0.001,0.001,True,67207.91,67083.1,67254.99,67046.39,-0.00185707,5.907e-05,0.0031038,265,139,16875.7692,0.7194,0.2943,0.51,0.61,0.52,0.21,0.0418
btc-updown-5m-1770872100,1770872100,2026-02-12 04:55:00 UTC,2026-02-12,4,55,Thursday,Down,0,22898.500258,0.01,,0.01,0.01,True,67083.1,67018.4,67130.67,67000.0,-0.00096448,6.609e-05,0.00194788,331,120,23447.4716,0.5914,0.429,0.51,0.6,0.6832,0.55,0.1404
btc-updown-5m-1770872400,1770872400,2026-02-12 05:00:00 UTC,2026-02-12,5,0,Thursday,Up,1,14817.492378,0.98,0.99,1,0.01,True,67018.39,67166.62,67179.22,66986.34,0.00221178,8.326e-05,0.00287802,258,128,24734.4416,0.7062,0.4729,0.51,0.47,0.7,0.88,0.97
btc-updown-5m-1770872700,1770872700,2026-02-12 05:05:00 UTC,2026-02-12,5,5,Thursday,Down,0,35917.794093,0.01,,0.01,0.01,True,67161.13,67015.34,67209.99,67015.34,-0.00217075,8.757e-05,0.00289825,353,148,37898.1112,0.4745,0.4278,0.5,0.5467,0.47,0.3788,0.0497
btc-updown-5m-1770873000,1770873000,2026-02-12 05:10:00 UTC,2026-02-12,5,10,Thursday,Down,0,15751.62772,0.01,,0.01,0.01,True,67015.34,66805.97,67045.53,66766.66,-0.00312421,0.00010037,0.00416129,220,117,14988.8802,0.6766,0.2727,0.4976,0.5,0.21,0.06,0.01
btc-updown-5m-1770873300,1770873300,2026-02-12 05:15:00 UTC,2026-02-12,5,15,Thursday,Down,0,20091.394077,0.01,,0.01,0.01,True,66813.98,66701.46,66869.24,66671.61,-0.00168408,8.685e-05,0.00295791,280,118,24992.7398,0.4701,0.3929,0.52,0.6201,0.62,0.2,0.04
btc-updown-5m-1770873600,1770873600,2026-02-12 05:20:00 UTC,2026-02-12,5,20,Thursday,Up,1,11857.178931,0.99,0.98,0.99,0.01,True,66701.33,66884.23,66891.79,66699.04,0.00274207,7.964e-05,0.00288975,227,145,19318.2181,0.7331,0.5463,0.53,0.8,0.8661,0.92,0.98
btc-updown-5m-1770873900,1770873900,2026-02-12 05:25:00 UTC,2026-02-12,5,25,Thursday,Down,0,21215.424928,0.01,,0.01,0.01,True,66884.23,66877.01,66985.96,66826.0,-0.00010795,7.833e-05,0.0023916,367,134,30603.0124,0.5208,0.4087,0.51,0.596,0.68,0.6123,0.25
btc-updown-5m-1770874200,1770874200,2026-02-12 05:30:00 UTC,2026-02-12,5,30,Thursday,Up,1,21549.268447,0.99,0.99,1,0.01,True,66894.49,67091.06,67115.39,66862.01,0.00293851,8.513e-05,0.00378776,222,115,21168.1623,0.5788,0.464,0.5,0.5107,0.8755,0.96,0.99
btc-updown-5m-1770874500,1770874500,2026-02-12 05:35:00 UTC,2026-02-12,5,35,Thursday,Down,0,32412.849843,0.01,,0.01,0.01,True,67078.59,66990.98,67078.59,66950.0,-0.00130608,5.755e-05,0.00191701,355,162,34371.0528,0.5109,0.3859,0.47,0.34,0.3484,0.08,0.03
btc-updown-5m-1770874800,1770874800,2026-02-12 05:40:00 UTC,2026-02-12,5,40,Thursday,Up,1,24883.899699,0.999,0.999,1,0.001,True,66992.84,67086.86,67128.01,66992.83,0.00140343,6.212e-05,0.00201783,238,149,26810.1703,0.4675,0.4916,0.5,0.65,0.77,0.9469,0.99
btc-updown-5m-1770875100,1770875100,2026-02-12 05:45:00 UTC,2026-02-12,5,45,Thursday,Down,0,14078.856331,0.34,0.35,0.44,0.09,True,67086.85,67018.16,67135.64,67018.16,-0.0010239,6.149e-05,0.00175116,315,132,21570.0693,0.6322,0.3556,0.5,0.5,0.6,0.23,0.355
btc-updown-5m-1770875400,1770875400,2026-02-12 05:50:00 UTC,2026-02-12,5,50,Thursday,Up,1,7405.234681,0.97,0.9,0.99,0.09,True,67018.15,67059.33,67087.97,67000.0,0.00061446,4.848e-05,0.00131263,245,126,29102.8288,0.2865,0.4735,0.51,0.43,0.4359,0.7258,0.97
btc-updown-5m-1770875700,1770875700,2026-02-12 05:55:00 UTC,2026-02-12,5,55,Thursday,Up,1,8141.100899,0.93,0.92,0.93,0.01,True,67059.33,67141.93,67157.25,67059.33,0.00123175,4.634e-05,0.0014602,205,133,14126.7392,0.6293,0.5512,0.5,0.7,0.7167,0.7062,0.95
btc-updown-5m-1770876000,1770876000,2026-02-12 06:00:00 UTC,2026-02-12,6,0,Thursday,Down,0,24945.382907,0.01,,0.01,0.01,True,67138.78,67028.21,67171.99,67024.0,-0.00164689,7.238e-05,0.00220424,337,138,23872.4953,0.565,0.3294,0.5269,0.5667,0.3732,0.3957,0.6089
btc-updown-5m-1770876300,1770876300,2026-02-12 06:05:00 UTC,2026-02-12,6,5,Thursday,Up,1,15878.343406,0.99,0.99,1,0.01,True,67042.0,67078.0,67078.0,67014.0,0.00053698,5.111e-05,0.00095463,298,131,16605.7684,0.6458,0.5034,0.4663,0.6,0.5,0.7,0.65
btc-updown-5m-1770876600,1770876600,2026-02-12 06:10:00 UTC,2026-02-12,6,10,Thursday,Up,1,18734.34947,0.999,0.999,1,0.001,True,67078.0,67118.0,67246.32,67067.19,0.00059632,8.269e-05,0.00267047,269,134,19259.015,0.5632,0.4572,0.51,0.6942,0.7549,0.95,0.99
btc-updown-5m-1770876900,1770876900,2026-02-12 06:15:00 UTC,2026-02-12,6,15,Thursday,Up,1,32301.11972,0.99,0.99,1,0.01,True,67118.01,67127.6,67222.98,67116.47,0.00014288,6.761e-05,0.00158691,317,126,31219.1927,0.3675,0.4385,0.489,0.62,0.7129,0.8,0.72
btc-updown-5m-1770877200,1770877200,2026-02-12 06:20:00 UTC,2026-02-12,6,20,Thursday,Up,1,11727.678487,0.99,0.95,0.99,0.04,True,67127.6,67206.94,67208.98,67093.32,0.00118193,5.405e-05,0.00172299,253,122,18520.5893,0.5201,0.498,0.5,0.4,0.4917,0.79,0.94
btc-updown-5m-1770877500,1770877500,2026-02-12 06:25:00 UTC,2026-02-12,6,25,Thursday,Up,1,21235.693888,0.99,0.99,1,0.01,True,67206.94,67290.9,67348.46,67206.94,0.00124928,8.248e-05,0.00210573,394,136,20542.218,0.4313,0.3096,0.5,0.71,0.8837,0.97,0.99
btc-updown-5m-1770877800,1770877800,2026-02-12 06:30:00 UTC,2026-02-12,6,30,Thursday,Down,0,23975.020966,0.01,,0.01,0.01,True,67311.2,67233.99,67344.79,67215.13,-0.00114706,6.765e-05,0.00192628,511,170,23065.1865,0.5326,0.3992,0.48,0.5029,0.1564,0.4,0.02
btc-updown-5m-1770878100,1770878100,2026-02-12 06:35:00 UTC,2026-02-12,6,35,Thursday,Up,1,13386.807058,0.23,0.24,0.25,0.01,True,67234.0,67253.47,67260.72,67151.11,0.00028959,6.368e-05,0.00163028,471,151,33733.9573,0.3538,0.4034,0.5039,0.351,0.26,0.32,0.21
btc-updown-5m-1770878400,1770878400,2026-02-12 06:40:00 UTC,2026-02-12,6,40,Thursday,Up,1,23485.887579,0.99,0.99,1,0.01,True,67254.18,67237.31,67326.84,67196.99,-0.00025084,6.33e-05,0.00193074,476,117,21584.3375,0.5577,0.3824,0.5,0.7567,0.5647,0.3751,0.21
btc-updown-5m-1770878700,1770878700,2026-02-12 06:45:00 UTC,2026-02-12,6,45,Thursday,Down,0,23086.478005,0.01,,0.01,0.01,True,67240.49,67218.43,67303.64,67180.54,-0.00032808,6.866e-05,0.00183074,485,135,21877.1579,0.5503,0.4206,0.5,0.65,0.6202,0.2313,0.67
btc-updown-5m-1770879000,1770879000,2026-02-12 06:50:00 UTC,2026-02-12,6,50,Thursday,Down,0,11175.979766,0.03,0.02,0.03,0.01,True,67218.43,67133.11,67225.16,67121.47,-0.00126929,4.236e-05,0.00154258,297,130,14500.9615,0.5804,0.4007,0.51,0.2344,0.2,0.09,0.0556
btc-updown-5m-1770879300,1770879300,2026-02-12 06:55:00 UTC,2026-02-12,6,55,Thursday,Down,0,9178.639308,0.39,0.29,0.35,0.06,True,67133.11,67125.57,67143.41,67085.29,-0.00011231,3.728e-05,0.00086574,367,140,21676.3476,0.4891,0.4332,0.5,0.54,0.41,0.3792,0.1306
btc-updown-5m-1770879600,1770879600,2026-02-12 07:00:00 UTC,2026-02-12,7,0,Thursday,Down,0,20630.554606,0.02,0.01,0.02,0.01,True,67121.01,67080.99,67156.79,66990.0,-0.00059624,6.133e-05,0.00248491,405,165,27571.822,0.5369,0.4568,0.49,0.59,0.11,0.0997,0.09
btc-updown-5m-1770879900,1770879900,2026-02-12 07:05:00 UTC,2026-02-12,7,5,Thursday,Down,0,13930.067247,0.08,0.05,0.07,0.02,True,67081.0,67007.44,67081.0,66969.88,-0.00109658,5.108e-05,0.0016565,320,155,20011.613,0.5815,0.45,0.5,0.2808,0.15,0.0807,0.03
btc-updown-5m-1770880200,1770880200,2026-02-12 07:10:00 UTC,2026-02-12,7,10,Thursday,Down,0,18526.205615,0.01,,0.01,0.01,True,67007.43,66992.17,67007.44,66935.64,-0.00022774,4.469e-05,0.00107152,333,143,17031.3791,0.6171,0.3874,0.5,0.3348,0.13,0.18,0.1188
btc-updown-5m-1770880500,1770880500,2026-02-12 07:15:00 UTC,2026-02-12,7,15,Thursday,Up,1,18148.594989,0.99,0.99,1,0.01,True,66992.16,67079.94,67089.0,66955.9,0.0013103,6.369e-05,0.0019868,367,146,17968.7338,0.5786,0.4441,0.5004,0.33,0.6346,0.84,0.9379
btc-updown-5m-1770880800,1770880800,2026-02-12 07:20:00 UTC,2026-02-12,7,20,Thursday,Up,1,15718.653868,0.999,0.999,1,0.001,True,67082.51,67217.99,67217.99,67072.14,0.0020196,4.739e-05,0.00217419,290,130,13791.2922,0.5978,0.4552,0.4708,0.58,0.592,0.62,0.97
btc-updown-5m-1770881100,1770881100,2026-02-12 07:25:00 UTC,2026-02-12,7,25,Thursday,Up,1,18156.170884,0.87,0.81,0.85,0.04,True,67227.8,67228.2,67330.0,67217.72,5.95e-06,7.989e-05,0.00167014,638,203,33559.8219,0.556,0.3558,0.5,0.7658,0.85,0.86,0.8255
btc-updown-5m-1770881400,1770881400,2026-02-12 07:30:00 UTC,2026-02-12,7,30,Thursday,Down,0,15238.571895,0.45,0.38,0.42,0.04,True,67228.21,67173.56,67248.58,67172.0,-0.0008129,6.867e-05,0.00113911,499,163,23975.0522,0.6212,0.3727,0.5,0.2896,0.5066,0.5843,0.6967
btc-updown-5m-1770881700,1770881700,2026-02-12 07:35:00 UTC,2026-02-12,7,35,Thursday,Up,1,16951.284727,0.99,0.99,1,0.01,True,67173.56,67215.11,67231.55,67140.0,0.00061855,5.292e-05,0.00136289,396,142,29289.2748,0.3964,0.3939,0.5035,0.48,0.37,0.3448,0.3054
btc-updown-5m-1770882000,1770882000,2026-02-12 07:40:00 UTC,2026-02-12,7,40,Thursday,Down,0,20454.01353,0.1,0.1,0.13,0.03,True,67208.4,67130.01,67254.46,67130.01,-0.00116637,4.979e-05,0.0018517,462,166,32281.7872,0.4868,0.2792,0.51,0.35,0.4961,0.3229,0.15
